Original Term	Original Label	Suggested Normalization	PATO xref	CHEBI xref	PO xref	ENVO xref
ALOH3	ALOH3	Aluminum trihydroxide				
Acetate	Acetate	Acetate				
Activity	Activity	Activity				
Air	Air	Air				
Al	Aluminum	Aluminum		CHEBI:33620		
AlOH	Aluminum hydroxide	Aluminum hydroxide				
AlOH2	Aluminum dihydroxide	Aluminum dihydroxide				
AlOH3	Aluminum trihydroxide	Aluminum trihydroxide				
AlOH4	Aluminum tetrahydroxide	Aluminum tetrahydroxide				
AlPO4	AlPO4	Aluminum phosphate				
AlSO4	Aluminum sulfate	Aluminum sulfate				
Altitude	Altitude	Altitude				
Aluminium	Aluminium	Aluminum		CHEBI:33620		
Aluminum	Aluminum	Aluminum		CHEBI:33620		
Ammonia	Ammonia	Ammonia				
Ammonium	Ammonium	Ammonium				
AmmoniumUptake	Ammonium uptake	Ammonium				
AmmoniumUptakeRate	Ammonium uptake rate	Ammonium				
Apatite	Apatite	Apatite				
Aqueous	Aqueous	Aqueous				
Area	Area	Area				
Atmosphere	Atmosphere	Atmosphere				
AtmosphericPrecipitation	AtmosphericPrecipitation	Precipitation				
Attribute	attribute	Attribute				
Bacteria	Bacteria	Bacteria				
Band	Band	Band				
Bicarbonate	Bicarbonate	Bicarbonate				
BoundaryLayer	BoundaryLayer	Boundary Layer				
BoundaryLayerOfCanopy	BoundaryLayerOfCanopy	Boundary Layer				
Branch	Branch	Branch			PO:0025073	
BranchElement	Branch element	Branch			PO:0025073	
BranchHusk	Branch husk	Branch			PO:0025073	
BranchLeaf	BranchLeaf	Branch			PO:0025073	
BranchLeafElement	Branch leaf element	Branch			PO:0025073	
BranchPlusStalk	Branch plus stalk	Branch			PO:0025073	
BranchSheath	BranchSheath	Branch			PO:0025073	
BranchShoot	Branch shoot	Branch			PO:0025073	
BranchStalk	BranchStalk	Branch			PO:0025073	
BundleSheathCell	BundleSheathCell	Branch			PO:0025073	
C3Compound	C3Compound	NA				
C4	C4	C4				
C4Carboxylation	C4 carboxylation	C4 carboxylation				
C4CarboxylationRate	C4 carboxylation rate	C4 carboxylation				
C4Photosynthesis	C4Photosynthesis	C4 photosynthesis				
CH4	Methane	Methane		CHEBI:16183		
CHPO4	Calcium hydrogen phosphate	NA				
CNRatio	CNRatio	Carbon to nitrogen ratio				
CO2	Carbon dioxide	Carbon dioxide				
CO2CarboxylationRate	Carbon dioxide carboxylation rate	Carbon dioxide carboxylation rate				
CO2Concentration	CO2Concentration	CO2 concentration				
CO2Fixation	CO2Fixation	CO2 fixation				
CO3	Carbonate	Carbonate				
Ca	Calcium	Calcium				
Ca-NH4:Exchange	Ca-NH4_Exchange	NA				
Ca-NaSelection	Ca-NaSelection	NA				
CaCO3	Calcium carbonate	Calcium carbonate				
CaH2PO4	Calcium dihydrogen phosphate	Calcium dihydrogen phosphate				
CaHCO3	Calcium bicarbonate	Calcium bicarbonate				
CaHPO4	CaHPO4	Dicalcium phosphate				
CaOH	Calcium hydroxide	Calcium hydroxide				
CaPO4	Calcium phosphate	Calcium phosphate				
CaSO4	Calcium sulfate	Calcium sulfate				
Ca:Al:Exchange	Ca_Al_Exchange	NA				
Calcium	Calcium	Calcium				
Canopy	Canopy	Canopy				ENVO:01001242
CanopyBranch	CanopyBranch	Canopy				
CanopyLayer	CanopyLayer	Canopy				
CanopyNodule	CanopyNodule	Canopy				
CanopyPlant	CanopyPlant	Canopy				
CanopyShoot	CanopyShoot	Canopy				
CanopyShootCarbon	Canopy shoot carbon	Canopy				
Carbon	Carbon	Carbon				
